Tweet Username,Tweet Text,Cleaned Tweet Text,Result,ML Result
@AnayaZehra4,The ongoing power struggle between Imran Khan's regime and the army establishment has resulted in a bleak economic… https://t.co/3ufl3zDkLT,ongoing power struggle imran khan regime army establishment resulted bleak economic,Negative,Negative
@venkatesh13tk,"@KanwalSibal @TVMohandasPai just read that Afghnistan renks better than india in ranking of freedom of press. 
So y… https://t.co/vvvHjqQxER",read afghnistan renks better india ranking freedom press,Positive,Positive
@x4k5h4yx,@MahuaMoitra The andh bakth here is you. Andh bakth of these reports. And do you believe them ? 🤣🤣 Afghan with tali… https://t.co/MVIALmnBrd,andh bakth bakth report believe afghan talus,Negative,Neutral
@anees_avis,#Pakistan must maintain trade ties with all its neighbours esp #India if it has to come out of current economic cri… https://t.co/Rzpr08eL4r,maintain trade neighbour come current economic cri,Negative,Negative
@NavitaSrikant,"Bilawal Bhutto Zardari, the 37th Foreign Minister of #Pakistan lands in India to attend Regional Meeting under #SCO… https://t.co/yn10YypLhM",bilawal bhutto zardari foreign minister land india attend regional meeting,Negative,Positive
@AmanVdd,"Pakistan is facing the worst economic crisis in their history. With inf. Rate over 36%,2nd worst in Aisa after Lebn… https://t.co/9oMTfKbltm",pakistan facing worst economic crisis history inf rate nd worst aisa lebn,Negative,Negative
@pk_wealth,"✨WealthPK #Economic Calender (May 5,2023)

🇨🇳06:45 China - Caixin Services PMI  (Apr)
🇮🇩09:00 Indonesia - GDP  (Q1)… https://t.co/piD6g9H2kT",wealthpk calender china caixin service pmi apr indonesia gdp q,Negative,Negative
@raaz_india,"@ICC #Gravitas | Pakistan's inflation rate has reached 36.4%, the highest inflation in Asia. This comes amid a majo… https://t.co/AWwqFN9njy",pakistan inflation rate reached highest inflation asia come majo,Positive,Negative
@pallavsb,"After Sri Lanka and Pakistan, third Subcontinent nation to face economic crisis. All 3 were backing China and look… https://t.co/i600UA3vpY",sri lanka pakistan third subcontinent nation face economic crisis backing china look,Negative,Negative
@talha_raziq,"@spectatorindex currently, Pakistan is facing all time worst economic crisis.. but still unemployment rate is lower than india..",currently facing time worst economic crisis still unemployment rate lower india,Negative,Negative
@hammadali2,"How India came out and what Pakistan can learn?   

Narsimha Rao government with Manmohan Singh as the Finance Mini… https://t.co/thWp9jTS1O",india came pakistan learn rao government manmohan singh finance mini,Negative,Negative
@ians_india,Amid the unceasing political and economic turmoil in #Pakistan that continues to make the lives of citizens miserab… https://t.co/sPo26IQCJO,unceasing political economic turmoil continues make life citizen miserab,Negative,Negative
@Sivakrishnadev1,"@CMShehbaz Hi , dear Pakistan bros and sisters..i am from India. sorry to say that you r in economic crisis. You kn… https://t.co/w2WweNoUSi",hi dear pakistan bros sister india sorry say r economic crisis kn,Negative,Negative
@Sameekaze,"@sidd_sharma01 @JSShankarFCA @37km What religion? 
We are just asking you for a plausible explanation. Pakistan, Sr… https://t.co/7FLF1AqSn6",religion asking plausible explanation pakistan sr,Negative,Negative
@Rajkumar_rajb,"#Pakistan's economy is facing the worst crisis and #Jammu&amp;Kashmir is helping them with the needful.

https://t.co/Tg28vHDXGv",economy facing worst crisis helping needful,Negative,Negative
@Abhi_rkan,#Pakistan has claimed that the residents of #J&amp;K are pouring crores of rupees into #Pakistan just as the country is… https://t.co/gYZKc9fTgg,claimed resident pouring crore rupee country,Negative,Negative
@Thomxw09,@MichaelKugelman China is an all weather 'friend' to Pakistan only because of their shared rivalries with India. Mo… https://t.co/clVPf6382i,china weather friend pakistan shared rivalry india mo,Positive,Positive
@iffatabbas24,@smnaseemiqbal Muslims countries never support Pakistan's stance on Kashmir issue. India is a huge market in 1 of t… https://t.co/7Lnj6tFvcz,muslim country never support pakistan stance kashmir issue india huge market,Positive,Positive
@m9maru,@INCIndia @kharge India is safe from recession and high inflation it is in path to be a world economic super power… https://t.co/3mvRG9TIti,india safe recession high inflation path world economic super power,Positive,Positive
@SanjivRanjanJh1,"Shark_IMF loan Looters Karzkhors:
Bangladesh,India,Sri Lanka, desperate Pakistan..

Better join Russia and China fo… https://t.co/iFGQfbhAaU",sharkimf loan looter karzkhors bangladeshindiasri lanka desperate pakistan better join russia china fo,Positive,Positive
@AltafAhussain,Pakistan economic crisis: Will the country follow India's demonetization step? | Mint https://t.co/aj8W2XVvk3,pakistan economic crisis country follow india demonetization step mint,Negative,Negative
@AmanNaveed11,"Pakistan &amp; India should pay special attention to promoting balanced political, economic &amp; diplomatic relations with… https://t.co/xjPf0U1Zkc",pakistan india pay special attention promoting balanced political economic diplomatic relation,Positive,Positive
@TheQuint,"#Opinion | ""As #Pakistan grapples with a grave economic crisis, institutional downfall, it needs to mend manners to… https://t.co/1pcUYZlUqI",grapple grave economic crisis institutional downfall need mend manner,Negative,Negative
@_aka_adarsh_,"@stats_feed In asisan countries srilanka Afghanistan Pakistan  all three of them are above India 
And are facing ec… https://t.co/atVtVDm3Eg",asisan country srilanka afghanistan pakistan india facing ec,Negative,Negative
@truly_Indi,"@BhavikaKapoor5 @MantuBaishya19 @padsati If we go by your logic, India would have been in deep economic crisis just… https://t.co/76Iy7AwlJ1",go logic india deep economic crisis,Negative,Negative
@Brit_heritageSE,"@CarolineLucas @EnverSol Only almost every one was an economic migrant, (top nations: Albania, India, Pakistan) pay… https://t.co/BRwrijevHM",almost economic migrant top nation india pakistan pay,Positive,Positive
@dna,"Ahead of #G20, residents of #JammuandKashmir investing billions in #Pakistan amid economic crisis?

https://t.co/L8WZs9m83o",ahead resident investing economic crisis,Negative,Negative
@my_musings_ind,"They don't want to pay taxes / electricity in India but will invest billions in Pakistan. Such bloody hypocrites!

https://t.co/7wdnHDfFJm",dont want pay tax electricity india invest pakistan bloody hypocrite,Negative,Positive
@Srishti85189500,@NaorGilon @SairaRamzan786 The total budget you spend on  Pakistan occupied Kashmir is less then what govt. of Indi… https://t.co/ap0OmZAFyK,total budget spend pakistan occupied kashmir le govt indi,Negative,Negative
@sufisal,The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic g… https://t.co/Djp9Ah8gtt,smart lockdown strategy govt saved life livelihood pakistan achieved economic g,Positive,Positive
@turabshah5,@stats_feed Sri Lanka 🇱🇰 default Pakistan 🇵🇰economic crisis going  on not in list  India 🇮🇳 forth largest economy 😂… https://t.co/hOg1LtB371,sri lanka default pakistan economic crisis going not list india forth largest economy,Negative,Negative
@Randomindiann,"@spectatorindex Fake Propaganda Index, Sri Lanka and Pakistan is Above India, How? Pakistanis Literally fighting fo… https://t.co/MyJAQX7ZeU",fake propaganda index sri lanka pakistan india pakistani literally fighting fo,Negative,Negative
@Tayeb786789,"@OfficialDGISPR India?

India surpassed Pakistan in economic growth rate and became one of the fastest-growing econ… https://t.co/rzitc1q28o",india india surpassed pakistan economic growth rate became fastest growing econ,Positive,Positive
@Tayeb786789,"@MaryamNSharif India?

India surpassed Pakistan in economic growth rate and became one of the fastest-growing econo… https://t.co/3V1NO4gaq4",india india surpassed pakistan economic growth rate became fastest growing econo,Positive,Positive
@Iamsultanmarri,"@RajShukla_IND @Qamarcheema India's internal issues must not be excuses to take action against Pakistan, China beca… https://t.co/SIdv8565lE",india internal issue not excuse take action china beca,Negative,Negative
@shafiburfat,Exclusive-China Economic Crisis: Why Is There Speculation Of Economic Co... https://t.co/jwCmHfONul via @YouTube… https://t.co/Bdr4yuIfTf,exclusive china economic crisis speculation economic co,Negative,Negative
